Id,R_G1,R_G2,R_G3,keeps_safe_distance_prec__a0_a1,precedes__a0_a1,rel_brakes_abruptly__a0_a1_i,brakes_abruptly__a0_i,a_ego,a_lead_rel
DEU_LocationALower-11_10_T-1,0.2038953158945332,1.0,0.0763201381686201,0.05448412938005,0.1139981487876976,-1.0,-1.0,0.0,-0.2499999999999502
DEU_LocationALower-11_11_T-1,0.2159420353635581,1.0,0.0047521466077639,0.2159420353635581,0.1003308595450123,-1.0,-1.0,0.0,0.2499999999999502
DEU_LocationALower-11_12_T-1,0.2483656841085217,1.0,0.0306721382769228,0.2483656841085217,0.1073261197262256,-1.0,-1.0,0.0,0.2499999999999502
DEU_LocationALower-11_13_T-1,-0.0119540116783924,1.0,0.0079201454584415,-0.0119540116783924,0.0928376168209523,-1.0,-1.0,0.0,-0.4999999999999893
DEU_LocationALower-11_14_T-1,0.1583695718381521,1.0,0.0734401452191148,0.1583695718381521,0.0959098340154435,-1.0,-1.0,0.0,0.0
DEU_LocationALower-11_1_T-1,0.0132969047946957,1.0,0.0047521400695004,0.0132969047946957,0.08799326574497,-1.0,-1.0,0.0,0.2500000000001279
DEU_LocationALower-11_2_T-1,0.1800715526436123,1.0,0.0348481433915742,0.1800715526436123,0.1481964300156009,-1.0,-1.0,0.0,0.5000000000000782
DEU_LocationALower-11_3_T-1,0.104051102465651,1.0,0.1216801389573507,0.104051102465651,0.0936249310103017,-1.0,-1.0,0.0,0.2499999999999502
DEU_LocationALower-11_5_T-1,0.1206874426143563,1.0,0.0551521424895934,0.1206874426143563,0.1045006532411868,-1.0,-1.0,0.0,0.0
DEU_LocationALower-11_6_T-1,0.2030268261570993,1.0,0.0241921471392871,0.2030268261570993,0.1079768065132659,-1.0,-1.0,0.0,0.4997750000000245
DEU_LocationALower-11_7_T-1,0.4796211084169912,1.0,0.0244801472687474,0.0563706184132496,0.0777275070253782,-1.0,-1.0,0.0,0.0
DEU_LocationALower-11_8_T-1,0.0378392307159077,1.0,0.0416161457949653,0.0378392307159077,0.1130660627650512,-1.0,-1.0,0.0,0.0
DEU_LocationALower-11_9_T-1,0.8276729996233853,1.0,0.0478081383936965,0.8276729996233853,0.130525315955664,-1.0,-1.0,0.0,0.0
DEU_LocationALower-12_10_T-1,0.0174683382577559,1.0,0.0115201509200295,0.0174683382577559,0.102342361344651,-1.0,-1.0,0.0,-0.2483249999999159
DEU_LocationALower-12_11_T-1,0.1791739424863523,1.0,0.0828001413058724,0.1791739424863523,0.1424174991577949,-1.0,-1.0,0.0,0.0
DEU_LocationALower-12_12_T-1,0.0408053769199686,1.0,0.0640801401307468,0.0408053769199686,0.1208290211299203,-1.0,-1.0,0.0,0.0
DEU_LocationALower-12_13_T-1,0.0604785822250086,1.0,0.0807841473661807,0.0604785822250086,0.1041706276406657,-1.0,-1.0,0.0,-0.2499999999999502
DEU_LocationALower-12_14_T-1,0.0633796471895126,1.0,0.037584144599842,0.0633796471895126,0.1105813049018001,-1.0,-1.0,0.0,0.2500000000000391
DEU_LocationALower-12_15_T-1,0.025700628059645,1.0,0.1406881454423477,0.025700628059645,0.0750164098216117,-1.0,-1.0,0.0,0.4999999999999893
DEU_LocationALower-12_17_T-1,0.0431263761346731,1.0,0.1035361427439927,0.0431263761346731,0.1035405106203194,-1.0,-1.0,0.0,0.2500000000000391
DEU_LocationALower-12_19_T-1,0.0887982501313563,1.0,0.0944641395938576,0.0887982501313563,0.0916436154948644,-1.0,-1.0,0.0,-0.0004249999999927
DEU_LocationALower-12_1_T-1,0.3761441032523108,1.0,0.1003681388367174,0.3761441032523108,0.1107745507103938,-1.0,-1.0,0.0,0.2500000000000391
DEU_LocationALower-12_20_T-1,0.1155815748208254,1.0,0.0298081379738774,0.1155815748208254,0.1157262402369562,-1.0,-1.0,0.0,0.0
DEU_LocationALower-12_21_T-1,0.1069811367853795,1.0,0.0489601392561309,0.1069811367853795,0.1088276522795121,-1.0,-1.0,0.0,0.2504749999999944
DEU_LocationALower-12_22_T-1,0.2033250840884083,1.0,0.1409761465955384,0.2033250840884083,0.0909294828347032,-1.0,-1.0,0.0,0.0
DEU_LocationALower-12_23_T-1,0.113073074581419,1.0,0.0296641380114425,0.113073074581419,0.1001699806818493,-1.0,-1.0,0.0,-0.2499999999999502
DEU_LocationALower-12_4_T-1,0.1324414226172381,1.0,0.093888144,0.1324414226172381,0.1242500000000001,-1.0,-1.0,0.0,0.2502250000000039
DEU_LocationALower-12_5_T-1,0.1506116826929283,1.0,0.0465121411286825,0.1506116826929283,0.1444916301627127,-1.0,-1.0,0.0,-0.7499750000000027
DEU_LocationALower-12_7_T-1,0.0196128881274918,1.0,0.1226881495131749,0.0196128881274918,0.0822923066218405,-1.0,-1.0,0.0,0.2496499999999457
DEU_LocationALower-12_9_T-1,0.1924354492011048,1.0,0.1385281455669317,0.1924354492011048,0.1260928541398853,-1.0,-1.0,0.0,-0.2500000000000391
DEU_LocationALower-13_11_T-1,0.1830735275683668,1.0,-0.0606238564595805,0.1830735275683668,0.1425899710270453,-1.0,-1.0,0.0,0.2499999999999502
DEU_LocationALower-13_13_T-1,0.0236197485157448,1.0,0.0626401406004428,0.0236197485157448,0.086156757055749,-1.0,-1.0,0.0,0.0
DEU_LocationALower-13_17_T-1,0.0429515775925009,1.0,0.0226081471271922,0.0429515775925009,0.1131554945606254,-1.0,-1.0,0.0,0.2500000000000391
DEU_LocationALower-13_19_T-1,0.1103309397221481,1.0,0.1245601430415413,0.1103309397221481,0.1522838672783795,-1.0,-1.0,0.0,-0.2500000000000391
DEU_LocationALower-13_1_T-1,0.3374980337798687,1.0,-0.0159838494940771,0.3374980337798687,0.1098515334508643,-1.0,-1.0,0.0,4.9999999873762135e-05
DEU_LocationALower-13_21_T-1,0.027414798809524,1.0,1.4400000004570758e-07,0.027414798809524,0.0960730000000002,-1.0,-1.0,0.0,-2.4999999936881068e-05
DEU_LocationALower-13_22_T-1,0.3316436126687961,1.0,0.0361441473391258,0.3316436126687961,0.1205154578338899,-1.0,-1.0,0.0,0.2499999999999502
DEU_LocationALower-13_23_T-1,0.9739091039930272,1.0,0.0865441370479387,0.9739091039930272,0.122769327707368,-1.0,-1.0,0.0,0.0
DEU_LocationALower-13_26_T-1,0.026199281941659,1.0,-0.0146878623345843,0.026199281941659,0.1154506517100987,-1.0,-1.0,0.0,-0.2501749999998637
DEU_LocationALower-13_27_T-1,0.5492672201293953,1.0,0.0316801410416607,0.5492672201293953,0.0882194902893932,-1.0,-1.0,0.0,0.0
DEU_LocationALower-13_2_T-1,0.250664769564294,1.0,-0.0550078504764521,0.250664769564294,0.1172306671065879,-1.0,-1.0,0.0,0.2499999999999502
DEU_LocationALower-13_3_T-1,0.0710810019426432,1.0,0.1054081428816595,0.0710810019426432,0.1306570815546303,-1.0,-1.0,0.0,0.2499750000000133
